address,walk_score,lat,lon
426 East Buffalo Street,88,42.441939,-76.492517
426 East Buffalo Street Apt 3,88,42.441939,-76.492517
428 E. Seneca St,92,42.440608,-76.492413
"443 N. Aurora St., apt 1",90,42.444609,-76.495525
5 Cinema Dr.,53,42.47851,-76.477198
502 Dryden Rd,78,42.441315,-76.480466
504 Stewart Avenue,91,42.443587,-76.489991
512 Stewart Ave,84,42.443982,-76.489831
514 wyckoff Rd,27,42.456917,-76.48834
526 Stewart Avenue,84,42.444585,-76.489801
527 E Buffalo St,89,42.441293,-76.490254
531 E. State St,87,42.438957,-76.48982
572 Warren Rd.,23,42.476936,-76.46955
6 1/2 Lodge Way,37,42.454309,-76.48461
6 Candlewyck Drive,10,42.460335,-76.527998
600 Warren Rd,13,42.477501,-76.46907
602 W. Seneca St Apt A4,88,42.440324,-76.50889
603 N. Aurora St.,76,42.446457,-76.495976
612 E. Buffalo Street,88,42.44186,-76.48916
614 E. Buffalo St. #2,87,42.441969,-76.488941
"618 Stewart Ave, Apt C",68,42.446973,-76.490324
624 N. Aurora St.,75,42.447178,-76.496052
63 Waterwagon Rd,0,42.515307,-76.498798
64 Hungerford Rd,1,42.428729,-76.436674
700 Warren Rd Apt 15-1E,12,42.487606,-76.471324
700 Warren Rd.,12,42.487606,-76.471324
700 Warren Rd. - North Wood Apts.,12,42.487606,-76.471324
703 E. State Street,83,42.438317,-76.488295
707 East State Street,82,42.438116,-76.488091
"708 Stewart Ave., Apt. 2",64,42.450022,-76.490871
"708 Stewart Ave., Apt. T",64,42.450022,-76.490871
715 N. Aurora Street,69,42.448089,-76.495717
"717 E. Buffalo St., Room",89,42.44158,-76.487541
74 Whitetail Drive,3,42.406709,-76.481037
78 Lois Lane,0,42.423128,-76.467866
7B Knoll Tree Rd,0,42.435604,-76.417058
8 Country Club Road,25,42.458908,-76.484543
801-09 E. State Street,82,42.436883,-76.486525
802 N. Cayuga Street,79,42.448506,-76.499766
804 E. Seneca St. #5,89,42.44097,-76.488206
823 Hanshaw Road,34,42.470048,-76.480889
828 N Aurora St,71,42.449522,-76.496533
835 Taughannock Blvd,4,42.462776,-76.523314
847 Dryden Road Apt.#2H,1,42.452306,-76.445249
847 Dryden Road Apt.4E,1,42.452306,-76.445249
87 Uptown Road,36,42.479113,-76.474596
9007 Covert Cottages Road,3,42.588627,-76.661832
911 E State Street,74,42.436775,42.436775
"Chateau Claire Apartments, Cinema Drive",90,42.479305,-76.478391
East State St.,74,42.436989,-76.485643
Gaslight Village Apartments,41,42.443961,-76.501881
"Gaslight Village Apartments, 8B",41,42.443961,-76.501881
"Lansing West Apartments, 2250 Triphammer Rd.",43,42.478783,-76.484381
"Ravenwood Apartments, 516 University Ave, Apartment A7",90,42.449546,-76.492824
Snyder hill road,0,42.417022,-76.416054
Village Solars @ 12 Village Circle,6,42.509747,-76.470885
Village Solars @6 Village Circle,6,42.509465,-76.471051
"Warren Wood Apartments, 600 Warren Rd.",13,42.477501,-76.46907
